date,actif,sens,entree,sl,tp,range,resultat_R,sortie,contexte,plan_respecte
2026-07-08,NAS100,VENTE,29014.8,29087.2,28761.6,144.7,-1.0,SL,EMA20 < EMA50 (M5) | Supertrend H1 baissier,oui
2026-07-09,NAS100,ACHAT,29653.2,29557.5,29988.4,191.5,-1.0,SL,EMA20 > EMA50 (M5) | Supertrend H1 haussier,oui
2026-07-10,NAS100,ACHAT,29729.9,29660.5,29972.8,138.8,-1.0,SL,EMA20 > EMA50 (M5) | Supertrend H1 haussier,oui
2026-07-13,NAS100,VENTE,29349.9,29443.1,29023.6,186.4,-1.0,SL,EMA20 < EMA50 (M5) | Supertrend H1 baissier,oui
2026-07-20,BTC,ACHAT,64815.1,64561.7,65702.1,253.4,3.5,TP,EMA20 > EMA50 (M5) | Supertrend H1 haussier,oui
2026-07-21,BTC,ACHAT,66627.8,66395.9,67439.4,231.9,-1.0,SL,EMA20 > EMA50 (M5) | Supertrend H1 haussier,oui
2026-07-23,BTC,VENTE,64805.0,65039.0,63986.0,234.0,-1.0,SL,EMA20 < EMA50 (M5) | Supertrend H1 baissier,oui
2026-07-23,NAS100,VENTE,28427.3,28618.0,27759.9,211.9,0.39,CLOSE,EMA20 < EMA50 (M5) | Supertrend H1 baissier,oui
2026-07-24,NAS100,VENTE,28234.7,28384.4,27710.8,166.3,-1.0,SL,EMA20 < EMA50 (M5) | Supertrend H1 baissier,oui
2026-07-24,BTC,VENTE,64074.0,64262.0,63416.1,188.0,-0.47,CLOSE,EMA20 < EMA50 (M5) | Supertrend H1 baissier,oui
2026-07-27,NAS100,VENTE,28195.4,28363.1,27608.5,186.3,1.04,CLOSE,EMA20 < EMA50 (M5) | Supertrend H1 baissier,oui
2026-07-28,NAS100,VENTE,27482.9,27691.1,26754.0,231.4,-1.0,SL,EMA20 < EMA50 (M5) | Supertrend H1 baissier,oui
2026-07-29,NAS100,VENTE,27642.6,27774.0,27182.7,146.0,0.0,SL,EMA20 < EMA50 (M5) | Supertrend H1 baissier,oui
2026-07-30,BTC,ACHAT,65109.0,64768.8,66299.6,340.2,-1.0,SL,EMA20 > EMA50 (M5) | Supertrend H1 haussier,oui
2026-07-31,BTC,VENTE,63208.2,63557.7,61984.8,349.5,0.66,CLOSE,EMA20 < EMA50 (M5) | Supertrend H1 baissier,oui
2026-08-03,NAS100,ACHAT,28504.2,28310.0,29183.8,215.7,1.58,CLOSE,EMA20 > EMA50 (M5) | Supertrend H1 haussier,oui
2026-08-04,NAS100,ACHAT,29404.3,29230.8,30011.6,192.8,2.22,CLOSE,EMA20 > EMA50 (M5) | Supertrend H1 haussier,oui
2026-08-05,BTC,ACHAT,64438.8,64023.6,65892.2,415.3,0.97,CLOSE,EMA20 > EMA50 (M5) | Supertrend H1 haussier,oui
2026-08-10,NAS100,ACHAT,29768.7,29668.3,30119.9,111.5,-1.0,SL,EMA20 > EMA50 (M5) | Supertrend H1 haussier,oui
2026-08-10,BTC,VENTE,64390.8,64709.8,63274.3,319.0,1.72,CLOSE,EMA20 < EMA50 (M5) | Supertrend H1 baissier,oui
